Title;Year;Medium;Description;Creator/Editor;Company/Publisher;Language;Theme;Math. Content?;Ed. Level;Link
2048;2014;Game;Sliding puzzle game based on numbers and exponential growth.;Gabriele Cirulli;-;English;Logic;Some;All;https://2048.ninja/
"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character";1988;Book;One of the men behind the atomic bomb tells more about his eventful life;Richard P. Feynman | Ralph Leighton;W. W. Norton & Company;English;Physics;Yes;10–13;https://www.goodreads.com/book/show/35167718-what-do-you-care-what-other-people-think?from_search=true&from_srp=true&qid=YXbyxsxU2Q&rank=1
1089 and All That: A Journey into Mathematics;2010;Book;Simplifying difficult mathematical concepts;David Acheson;Oxford University Press;English;Misc.;Yes;8–13;https://www.goodreads.com/book/show/1473405.1089_and_All_That?from_search=true&from_srp=true&qid=b2gOxozZwE&rank=1
30-Second Theories: The 50 Most Thought-Provoking Theories in Science, Each Explained in Half a Minute;2009;Book;Chaos Theory, String Theory, the Theory of Relativity? Intelligent Design? Schrodinger's Cat and Pavlovżs Dog? Sure, you know what they all mean. That is, you've certainly heard of all of them. But do you know enough about them to join a dinner party debate or dazzle the bar with your knowledge?;Paul Parsons;Exlibris Media;English | Norwegian | Swedish;Physics;Yes;All;https://www.adlibris.com/no/bok/teorier-pa-30-sekunder-9788281737037
3blue1brown ;2015–;YouTube;Mathematics with a distinct visual perspective. Linear algebra, calculus, neural networks, topology, and more.;Brant Sanderson;-;English;Misc.;Yes;8–10;https://youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw  
A Beautiful Mind;2001;Film;Biography about John Nash;Ron Howard;Universal Pictures;English;Economics;Yes;8–10;https://youtube.com/c/magiske_monstre 
"A Beautiful Mind : A Biography of John Forbes Nash, Jr.
";1998;Book;Biography on the life of mathematician John Nash;Sylvia Nasar;Simon & Schuster;English;Biography ;Some;All;
A Beginner's Guide to Constructing the Universe: The Mathematical Archetypes of Nature, Art, and Science;2014;Book;Michael Schneider, an education writer and computer consultant, combines science, philosophy, art, and common sense to reaffirm what the ancients observed: that a consistent language of geometric design underpins every level of the universe, from atoms to galaxies, cucumbers to cathedrals. ;Michael S. Schneider;Harper;English;Mathematics in everyday life;;;
A Brief History of Time;1988;Book;Stephen Hawking explains complex concepts in physics in a simple way;Stephen Hawking;Bantam;English;Physics | Astrophysics;Some;8–13;https://www.goodreads.com/book/show/3869.A_Brief_History_of_Time?ac=1&from_search=true&qid=VcW5LO7Ir6&rank=2
A Briefer History of Time: The Science Classic Made More Accessible;1988;Book;Physics book written more in a narrative style. A more accessible version of the successful “A Brief History of Time”. ;Stephen Hawking | Leonard Mlodinow;Bantam;English;Physics | Astrophysics;Yes;5–13;https://www.goodreads.com/book/show/2094.A_Briefer_History_of_Time?from_search=true&from_srp=true&qid=02u1ne8ee5&rank=4
A Dingo Ate My Math Book: Mathematics from Down Under;2017;Book;A Dingo Ate My Math Book presents ingenious, unusual, and beautiful nuggets of mathematics with a distinctly Australian flavor. ~Goodreads;Burkard Polster | Marty Ross;American Mathematical Society;English;Mathematics in everyday life;Yes;10–13;https://www.goodreads.com/book/show/35869553-a-dingo-ate-my-math-book 
A History of π;1970;Book;The history of pi, says the author, though a small part of the history of mathematics, is nevertheless a mirror of the history of man. Petr Beckmann holds up this mirror, giving the background of the times when pi made progress -- and also when it did not, because science was being stifled by militarism or religious fanaticism.;Petr Beckmann;St. Martin's Griffin;Czech | English;Number Theory | Pi;Yes;Adults;https://www.goodreads.com/book/show/586616.A_History_of_
